Username,Bio,PostCount,AvatarDefault,AvatarURL,JoinedDate,Followers,Following,HeuristicScore,HeuristicReasons,AIScore,AIJustification
fonpayid,,0,False,,,0,0,2,No bio; No posts,,
francisca_077bab8739a03f6,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
gabriel_torres_870f0cefac,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
gamechanger1s,,1,False,,,0,0,1,No bio,,
ganesh250684,,1,False,,,0,0,2,No bio; Suspicious username,,
gdeest,,0,False,,,0,0,2,No bio; No posts,,
gordine_rhenag,,0,False,,,0,0,2,No bio; No posts,,
gustavo_6bd580b5f1294b944,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
gustavopratesc,,0,False,,,0,0,2,No bio; No posts,,
habebaabdelgayed_896c5fe,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
hamid_sadeghian,,0,False,,,0,0,2,No bio; No posts,,
hasanali_sabah_3b35992d8b,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
hdbetvnorg,,0,False,,,0,0,2,No bio; No posts,,
heiwana,,0,False,,,0,0,2,No bio; No posts,,
helenaroughton,,0,False,,,0,0,2,No bio; No posts,,
henry_spur_8684993ca76e59,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
hhhg_gggh_a748ac2938c6dba,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
holmes56,,0,False,,,0,0,2,No bio; No posts,,
hu_hcng_6a739e46675a8,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
humaira_feli_11132b1adbff,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
humna_ramzan_2ad3c64713b3,,1,False,,,0,0,2,No bio; Suspicious username,,
icyzfidelis,,0,False,,,0,0,2,No bio; No posts,,
igor_luchia_cd739eefa238,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
im-junaid,,0,False,,,0,0,2,No bio; No posts,,
imaichiyyy,,0,False,,,0,0,2,No bio; No posts,,
its-me,,0,False,,,0,0,2,No bio; No posts,,
ivantheslowcoder,,0,False,,,0,0,2,No bio; No posts,,
jackstar1986,,1,False,,,0,0,2,No bio; Suspicious username,,
jake_chen_db6ecfb48f0a3d1,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
james_hapurona_84425b86cb,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
jarle_hjortland_2aaf69287,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
javad_khanloo_19cc626de4c,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
jey_matigomez_2c4f348f11,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
johnmaveric,,1,False,,,0,0,1,No bio,,
johnson_smith_claw,,0,False,,,0,0,2,No bio; No posts,,
julie_govaert_13c53a42343,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
just_404_fun,,0,False,,,0,0,2,No bio; No posts,,
